id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change
JMAN_2429072,2023-02-10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,2.0,0.0,"Retail, Wholesale & Distribution",100 - 249,0.0
JMAN_9043466,2023-01-13,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,4.0,0.0,"Retail, Wholesale & Distribution",250 - 499,0.0
JMAN_2452556,2023-02-24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,,01-Sep,0.0
JMAN_2455113,2023-03-03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,,01-Sep,0.0
JMAN_18127937,2023-02-10,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,,01-Sep,0.0
JMAN_2373631,2023-03-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,4.0,0.0,Corporate Services,01-Sep,0.0
JMAN_2447279,2023-03-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,2.0,0.0,"Retail, Wholesale & Distribution",50 - 99,0.0
JMAN_9004478,2023-01-20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,1.0,0.0,4.0,0.0,"Retail, Wholesale & Distribution",50 - 99,0.0
JMAN_2477864,2023-03-24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,"Retail, Wholesale & Distribution",50 - 99,0.0
JMAN_2445629,2023-01-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,1.0,0.0,Technology,Oct-49,0.0
JMAN_9034877,2023-03-17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,Technology,Oct-49,0.0
