id,score_date,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr
JMAN_2429072,2023-02-10,2976.0,2976.0,0.0,0.0,0.0,0.0
JMAN_9043466,2023-01-13,20724.72,21474.84,499.56,250.56,0.0,499.56
JMAN_2452556,2023-02-24,605.76,817.8,181.92,30.12,0.0,0.0
JMAN_2455113,2023-03-03,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_18127937,2023-02-10,2100.0,420.0,-1680.0,0.0,-1680.0,0.0
JMAN_2373631,2023-03-03,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_2447279,2023-03-03,300.0,300.0,0.0,0.0,0.0,0.0
JMAN_9004478,2023-01-20,4182.0,4182.0,0.0,0.0,0.0,0.0
JMAN_2477864,2023-03-24,648.0,792.0,144.0,0.0,0.0,0.0
JMAN_2445629,2023-01-20,14952.0,14952.0,0.0,0.0,0.0,0.0
JMAN_9034877,2023-03-17,1788.0,1788.0,0.0,0.0,0.0,0.0
JMAN_14450264,2023-03-17,3792.0,4272.0,480.0,0.0,0.0,0.0
JMAN_18839586,2023-02-10,336.0,336.0,0.0,0.0,0.0,0.0
JMAN_12250851,2023-03-03,242.04,251.52,0.0,9.48,0.0,0.0
JMAN_9601250,2023-01-13,1632.0,1632.0,0.0,0.0,0.0,0.0
JMAN_9016831,2023-01-27,4500.0,4500.0,0.0,0.0,0.0,0.0
JMAN_18411228,2023-01-06,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_10361494,2023-03-24,228.0,10591.926642995482,-228.0,0.0,0.0,-228.0
JMAN_18409952,2023-01-13,228.0,228.0,0.0,0.0,0.0,0.0
JMAN_2468132,2023-02-17,600.0,600.0,0.0,0.0,0.0,0.0
JMAN_9005782,2023-02-10,180.0,180.0,0.0,0.0,0.0,0.0
JMAN_9023427,2023-03-03,72.6,77.16,0.0,4.56,0.0,0.0
JMAN_9002816,2023-01-27,60.0,60.0,0.0,0.0,0.0,0.0
JMAN_18391384,2023-03-10,168.0,168.0,0.0,0.0,0.0,0.0
JMAN_9773302,2023-01-06,115.8,117.12,0.0,1.32,0.0,0.0
JMAN_13717602,2023-03-03,1392.0,1392.0,0.0,0.0,0.0,0.0
JMAN_2468379,2023-02-24,4704.0,4704.0,0.0,0.0,0.0,0.0
JMAN_2475116,2023-03-03,852.0,828.0,-24.0,0.0,0.0,-144.0
JMAN_11710046,2023-01-20,2376.0,2376.0,0.0,0.0,0.0,0.0
JMAN_11265556,2023-03-24,6468.0,6468.0,0.0,0.0,0.0,0.0
JMAN_9034116,2023-02-10,1452.0,1848.0,396.0,0.0,0.0,0.0
JMAN_9744797,2023-03-03,180.0,180.0,0.0,0.0,0.0,0.0
JMAN_2472023,2023-01-13,672.0,672.0,0.0,0.0,0.0,0.0
