id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_2429072,2023-02-10,2.0,0.5,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9043466,2023-01-13,9.0,0.111111111,9.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2452556,2023-02-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2455113,2023-03-03,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_18127937,2023-02-10,5.0,0.0,8.789672861828274,5.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2373631,2023-03-03,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2447279,2023-03-03,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9004478,2023-01-20,5.0,0.4,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2477864,2023-03-24,6.0,0.166666667,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2445629,2023-01-20,14.0,0.153846154,13.0,14.0,0.0,1.0,0.928571429,0.928571429,0.0,0.0
JMAN_9034877,2023-03-17,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_14450264,2023-03-17,4.0,0.0,1.0,4.0,0.0,1.0,0.25,0.25,0.0,0.0
JMAN_18839586,2023-02-10,2.0,0.0,8.789672861828274,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_12250851,2023-03-03,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9601250,2023-01-13,4.0,0.0,3.0,4.0,0.0,0.0,0.75,0.75,0.0,0.0
JMAN_9016831,2023-01-27,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_18411228,2023-01-06,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_10361494,2023-03-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_18409952,2023-01-13,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2468132,2023-02-17,2.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9005782,2023-02-10,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9023427,2023-03-03,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9002816,2023-01-27,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_18391384,2023-03-10,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9773302,2023-01-06,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_13717602,2023-03-03,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2468379,2023-02-24,4.0,0.0,3.0,4.0,0.0,1.0,0.75,0.75,0.0,0.0
JMAN_2475116,2023-03-03,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_11710046,2023-01-20,2.0,0.5,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_11265556,2023-03-24,11.0,0.0,7.0,11.0,0.0,1.0,0.636363636,0.636363636,0.0,0.0
JMAN_9034116,2023-02-10,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9744797,2023-03-03,3.0,0.333333333,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2472023,2023-01-13,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2459144,2023-02-24,18.0,0.058823529,16.0,18.0,0.0,1.0,0.944444444,0.888888889,1.0,0.0
JMAN_9810546,2023-01-20,45.0,0.095238095,42.0,45.0,0.0,1.0,0.933333333,0.933333333,0.0,0.0
JMAN_2461321,2023-03-24,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_10303029,2023-01-13,23.0,0.304347826,23.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0
JMAN_2457086,2023-03-17,7.0,0.0,7.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2478859,2023-01-13,6.0,0.333333333,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_10078002,2023-03-10,18.0,0.1875,16.0,18.0,0.0,1.0,0.888888889,0.888888889,0.0,0.0
JMAN_9839217,2023-03-10,4.0,0.25,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9387901,2023-01-13,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2460501,2023-03-10,24.0,0.458333333,24.0,24.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_11272416,2023-01-27,10.0,0.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9022859,2023-03-03,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2439655,2023-03-31,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_10190396,2023-02-24,20.0,0.214285714,14.0,20.0,0.0,1.0,0.7,0.7,0.0,0.0
JMAN_9552552,2023-01-20,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_14142262,2023-01-20,3.0,0.666666667,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9275311,2023-01-06,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9003648,2023-01-20,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_476335,2023-02-17,1.0,0.5,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_11126390,2023-02-17,8.0,0.125,8.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9043466,2023-02-24,9.0,0.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2328487,2023-03-03,5.0,0.0,5.0,5.0,0.0,1.0,0.8,1.0,0.0,1.0
JMAN_18354320,2023-03-24,1.0,0.0,8.789672861828274,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9004984,2023-01-27,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_10967092,2023-03-03,3.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9999715,2023-02-24,15.0,0.0,14.0,15.0,0.0,1.0,0.866666667,0.933333333,0.0,1.0
JMAN_2458864,2023-01-20,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_12791979,2023-01-13,3.0,0.0,2.0,3.0,0.0,1.0,0.666666667,0.666666667,0.0,0.0
JMAN_9008035,2023-02-24,9.0,0.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9008035,2023-01-27,9.0,0.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9203571,2023-03-17,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_14450264,2023-03-24,4.0,0.0,1.0,4.0,0.0,0.0,0.25,0.25,0.0,0.0
JMAN_9669396,2023-02-03,15.0,0.230769231,13.0,15.0,0.0,1.0,0.866666667,0.866666667,0.0,0.0
JMAN_12472512,2023-02-24,5.0,0.0,4.0,5.0,0.0,0.0,0.8,0.8,0.0,0.0
JMAN_9003424,2023-02-17,7.0,0.714285714,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9023808,2023-01-13,11.0,0.363636364,11.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9327351,2023-02-10,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_18410807,2023-01-20,5.0,0.0,8.789672861828274,5.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2437417,2023-03-17,2.0,0.5,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9021938,2023-03-24,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2458020,2023-03-17,24.0,0.105263158,21.0,24.0,0.0,1.0,0.791666667,0.875,0.0,1.0
JMAN_13993883,2023-01-06,12.0,0.166666667,12.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9071046,2023-01-13,8.0,0.428571429,7.0,8.0,0.0,1.0,0.875,0.875,0.0,0.0
JMAN_9026440,2023-02-17,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2463960,2023-03-31,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_10364413,2023-03-17,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2449317,2023-01-13,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2473478,2023-03-31,20.0,0.052631579,19.0,20.0,0.0,1.0,0.95,0.95,0.0,0.0
JMAN_2439200,2023-03-03,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2452274,2023-01-13,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_18391348,2023-02-03,2.0,0.0,8.789672861828274,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2476016,2023-03-24,8.0,0.25,8.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2453701,2023-03-10,5.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_11265556,2023-03-10,11.0,0.0,7.0,11.0,0.0,1.0,0.636363636,0.636363636,0.0,0.0
JMAN_2468805,2023-03-17,3.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_11200796,2023-03-17,5.0,0.4,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_11118444,2023-01-27,15.0,0.111111111,9.0,15.0,0.0,0.0,0.6,0.6,0.0,0.0
JMAN_9023120,2023-03-10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9383192,2023-03-10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9803968,2023-03-17,9.0,0.0,9.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9031290,2023-01-13,5.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9029087,2023-03-10,5.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2473827,2023-01-20,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9086153,2023-02-10,10.0,0.1,10.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9003408,2023-03-24,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9014366,2023-03-31,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2448264,2023-02-24,10.0,0.0,10.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9026918,2023-03-17,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2463786,2023-01-27,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
